,predict,real
2018-09-01 13:00:00,0.4362353,0.402371
2018-09-01 14:00:00,0.43587267,0.4247191
2018-09-01 15:00:00,0.4379651,0.4153499
2018-09-01 16:00:00,0.43279034,0.44067067
2018-09-01 17:00:00,0.4536773,0.43077573
2018-09-01 18:00:00,0.43657768,0.42259136
2018-09-01 19:00:00,0.4401558,0.36915225
2018-09-01 20:00:00,0.3442022,0.3269103
2018-09-01 21:00:00,0.26134464,0.2653414
2018-09-01 22:00:00,0.21586224,0.21008903
2018-09-01 23:00:00,0.1704238,0.1714708
2018-09-02 00:00:00,0.13424103,0.18242678
2018-09-02 01:00:00,0.13366693,0.14639905
2018-09-02 02:00:00,0.118834846,0.090252705
2018-09-02 03:00:00,0.074804,0.05698006
2018-09-02 04:00:00,0.052298605,0.032128513
2018-09-02 05:00:00,0.04931032,0.03846154
2018-09-02 06:00:00,0.09185988,0.016949153
2018-09-02 07:00:00,0.075021975,0.053380784
2018-09-02 08:00:00,0.1273844,0.07350428
2018-09-02 09:00:00,0.16754971,0.18332022
2018-09-02 10:00:00,0.36812228,0.24377137
2018-09-02 11:00:00,0.2257321,0.3271977
2018-09-02 12:00:00,0.45708305,0.38201112
2018-09-02 13:00:00,0.37502408,0.45218906
2018-09-02 14:00:00,0.48225582,0.4524047
2018-09-02 15:00:00,0.43579662,0.46268067
2018-09-02 16:00:00,0.45626897,0.45964715
2018-09-02 17:00:00,0.46194333,0.4427496
2018-09-02 18:00:00,0.43868536,0.45602033
2018-09-02 19:00:00,0.4550522,0.44247788
2018-09-02 20:00:00,0.42175967,0.4153071
2018-09-02 21:00:00,0.3140415,0.33356792
2018-09-02 22:00:00,0.26894295,0.2548926
2018-09-02 23:00:00,0.2174373,0.23503326
2018-09-03 00:00:00,0.19300771,0.18858002
2018-09-03 01:00:00,0.1567558,0.16666667
2018-09-03 02:00:00,0.12863858,0.058035713
2018-09-03 03:00:00,0.050221026,0.07590759
2018-09-03 04:00:00,0.06797246,0.06557377
2018-09-03 05:00:00,0.09016833,0.01724138
2018-09-03 06:00:00,0.036691688,0.04379562
2018-09-03 07:00:00,0.13092288,0.05882353
2018-09-03 08:00:00,0.13092801,0.121323526
2018-09-03 09:00:00,0.24177521,0.1756374
2018-09-03 10:00:00,0.26498726,0.2677097
2018-09-03 11:00:00,0.37643453,0.34924546
2018-09-03 12:00:00,0.37809342,0.37172502
2018-09-03 13:00:00,0.4057737,0.4054305
2018-09-03 14:00:00,0.42984718,0.4057971
2018-09-03 15:00:00,0.4262609,0.40201005
2018-09-03 16:00:00,0.4229964,0.4124189
2018-09-03 17:00:00,0.42812735,0.41387075
2018-09-03 18:00:00,0.42735314,0.4228834
2018-09-03 19:00:00,0.45472687,0.40476725
2018-09-03 20:00:00,0.3531131,0.35832873
2018-09-03 21:00:00,0.28833324,0.28360528
2018-09-03 22:00:00,0.23428977,0.22888888
2018-09-03 23:00:00,0.19003002,0.1940407
2018-09-04 00:00:00,0.15742852,0.111248456
2018-09-04 01:00:00,0.09730819,0.057416268
2018-09-04 02:00:00,0.050361864,0.037914693
2018-09-04 03:00:00,0.045568876,0.05147059
2018-09-04 04:00:00,0.07565074,0.014285714
2018-09-04 05:00:00,0.0727399,0.03076923
2018-09-04 06:00:00,0.12906606,0.092391305
2018-09-04 07:00:00,0.19742157,0.242278
2018-09-04 08:00:00,0.42168087,0.38668588
2018-09-04 09:00:00,0.47298276,0.48696625
2018-09-04 10:00:00,0.5000788,0.40186247
2018-09-04 11:00:00,0.23861584,0.2720848
2018-09-04 12:00:00,0.33554068,0.28812167
2018-09-04 13:00:00,0.32014567,0.29477742
2018-09-04 14:00:00,0.32464492,0.3142367
2018-09-04 15:00:00,0.32581264,0.32845473
2018-09-04 16:00:00,0.36598957,0.36396614
2018-09-04 17:00:00,0.42449206,0.42301604
2018-09-04 18:00:00,0.58980423,0.55935323
2018-09-04 19:00:00,0.53203034,0.5611502
2018-09-04 20:00:00,0.48712373,0.4766234
2018-09-04 21:00:00,0.36136472,0.3513671
2018-09-04 22:00:00,0.2726646,0.46417445
2018-09-04 23:00:00,0.26990873,0.21904127
2018-09-05 00:00:00,0.18428713,0.13073395
2018-09-05 01:00:00,0.08396408,0.10222222
2018-09-05 02:00:00,0.062452152,0.031578947
2018-09-05 03:00:00,0.04675439,0.056338027
2018-09-05 04:00:00,0.063793786,0.027027028
2018-09-05 05:00:00,0.07962832,0.024390243
2018-09-05 06:00:00,0.12157556,0.107644305
2018-09-05 07:00:00,0.24535275,0.294193
2018-09-05 08:00:00,0.45584464,0.45348588
2018-09-05 09:00:00,0.56852776,0.57792825
2018-09-05 10:00:00,0.4957502,0.47625783
2018-09-05 11:00:00,0.27100354,0.33953
2018-09-05 12:00:00,0.31555563,0.31402215
2018-09-05 13:00:00,0.36193842,0.379755
2018-09-05 14:00:00,0.36579055,0.3677399
2018-09-05 15:00:00,0.3722734,0.39871004
2018-09-05 16:00:00,0.43141145,0.37614155
2018-09-05 17:00:00,0.44454604,0.41281936
2018-09-05 18:00:00,0.5422654,0.5639117
2018-09-05 19:00:00,0.58427364,0.59395325
2018-09-05 20:00:00,0.4976663,0.47118464
2018-09-05 21:00:00,0.38653415,0.37724712
2018-09-05 22:00:00,0.2880769,0.29462197
2018-09-05 23:00:00,0.23532188,0.21218961
2018-09-06 00:00:00,0.1787368,0.15311004
2018-09-06 01:00:00,0.114156395,0.08876812
2018-09-06 02:00:00,0.072985835,0.05263158
2018-09-06 03:00:00,0.05110821,0.031746034
2018-09-06 04:00:00,0.047735192,0.014492754
2018-09-06 05:00:00,0.054470778,0.017094018
2018-09-06 06:00:00,0.12182881,0.11282051
2018-09-06 07:00:00,0.28783536,0.27637035
2018-09-06 08:00:00,0.4291839,0.4157034
2018-09-06 09:00:00,0.5700106,0.5400479
2018-09-06 10:00:00,0.4593765,0.49155948
2018-09-06 11:00:00,0.30718294,0.30722678
2018-09-06 12:00:00,0.33854878,0.30168223
2018-09-06 13:00:00,0.35622895,0.31806368
2018-09-06 14:00:00,0.34977487,0.32504904
2018-09-06 15:00:00,0.33933362,0.3244776
2018-09-06 16:00:00,0.3646863,0.35958904
2018-09-06 17:00:00,0.42088145,0.41017488
2018-09-06 18:00:00,0.58314306,0.55179787
2018-09-06 19:00:00,0.5539284,0.51665854
2018-09-06 20:00:00,0.45992607,0.37891105
2018-09-06 21:00:00,0.36351493,0.34760547
2018-09-06 22:00:00,0.2549814,0.2727656
2018-09-06 23:00:00,0.21191448,0.21523517
2018-09-07 00:00:00,0.14836134,0.15609756
2018-09-07 01:00:00,0.09721115,0.10852713
2018-09-07 02:00:00,0.078063294,0.05279503
