,predict,real
2017-06-01 13:00:00,0.8642672,0.8621974
2017-06-01 14:00:00,0.8647771,0.85071945
2017-06-01 15:00:00,0.8629271,0.8870056
2017-06-01 16:00:00,0.89053684,0.8446602
2017-06-01 17:00:00,0.8676734,0.8659639
2017-06-01 18:00:00,0.89973676,0.8681627
2017-06-01 19:00:00,0.8916479,0.8997175
2017-06-01 20:00:00,0.8680991,0.86727273
2017-06-01 21:00:00,0.84071064,0.8399247
2017-06-01 22:00:00,0.81765,0.8742038
2017-06-01 23:00:00,0.85252446,0.8530466
2017-06-02 00:00:00,0.8169082,0.73976606
2017-06-02 01:00:00,0.6642859,0.6939891
2017-06-02 02:00:00,0.64322567,0.6044776
2017-06-02 03:00:00,0.524922,0.5268817
2017-06-02 04:00:00,0.39559704,0.41025642
2017-06-02 05:00:00,0.40068603,0.33333334
2017-06-02 06:00:00,0.54090154,0.23076923
2017-06-02 07:00:00,0.6047442,0.620438
2017-06-02 08:00:00,0.77271163,0.81904763
2017-06-02 09:00:00,0.87512064,0.87476635
2017-06-02 10:00:00,0.8421773,0.8106509
2017-06-02 11:00:00,0.81043875,0.8017429
2017-06-02 12:00:00,0.82163525,0.8065134
2017-06-02 13:00:00,0.8255224,0.8128898
2017-06-02 14:00:00,0.8285414,0.81978023
2017-06-02 15:00:00,0.8359426,0.84808016
2017-06-02 16:00:00,0.8568189,0.8683788
2017-06-02 17:00:00,0.8740829,0.8358714
2017-06-02 18:00:00,0.8634442,0.87784094
2017-06-02 19:00:00,0.92394775,0.8957143
2017-06-02 20:00:00,0.9141757,0.8633441
2017-06-02 21:00:00,0.85274446,0.8678261
2017-06-02 22:00:00,0.88271904,0.87625897
2017-06-02 23:00:00,0.8854153,0.8742424
2017-06-03 00:00:00,0.8468361,0.7972028
2017-06-03 01:00:00,0.76889014,0.7207207
2017-06-03 02:00:00,0.67133784,0.64880955
2017-06-03 03:00:00,0.56515265,0.5048544
2017-06-03 04:00:00,0.41173083,0.47058824
2017-06-03 05:00:00,0.3762904,0.37209302
2017-06-03 06:00:00,0.54772747,0.41269842
2017-06-03 07:00:00,0.64962053,0.5603448
2017-06-03 08:00:00,0.75816524,0.7834395
2017-06-03 09:00:00,0.86274064,0.84686345
2017-06-03 10:00:00,0.8409071,0.84532374
2017-06-03 11:00:00,0.8302875,0.8455538
2017-06-03 12:00:00,0.84740597,0.88142294
2017-06-03 13:00:00,0.87143,0.893588
2017-06-03 14:00:00,0.8824503,0.8698225
2017-06-03 15:00:00,0.87584245,0.9049881
2017-06-03 16:00:00,0.90793073,0.8607595
2017-06-03 17:00:00,0.8839969,0.87080103
2017-06-03 18:00:00,0.90727735,0.86529124
2017-06-03 19:00:00,0.89960605,0.8951132
2017-06-03 20:00:00,0.86187416,0.8718663
2017-06-03 21:00:00,0.83375037,0.8584337
2017-06-03 22:00:00,0.8314073,0.8977833
2017-06-03 23:00:00,0.8723611,0.89915967
2017-06-04 00:00:00,0.86870134,0.8536978
