,time,wait,com
2018-10-01 00:02:00,1538323320000,0,1000
2018-10-01 00:03:00,1538323380000,0,1000
2018-10-01 00:04:00,1538323440000,5633,5633
2018-10-01 00:05:00,1538323500000,4737,4737
2018-10-01 00:06:00,1538323560000,5231,5231
2018-10-01 00:07:00,1538323620000,0,1000
2018-10-01 00:08:00,1538323680000,4467,4467
2018-10-01 00:09:00,1538323740000,0,1000
2018-10-01 00:10:00,1538323800000,0,1000
2018-10-01 00:11:00,1538323860000,2830,2830
2018-10-01 00:12:00,1538323920000,317,5567
2018-10-01 00:13:00,1538323980000,4959,4959
2018-10-01 00:14:00,1538324040000,0,1000
2018-10-01 00:15:00,1538324100000,266,1000
2018-10-01 00:16:00,1538324160000,0,1000
2018-10-01 00:17:00,1538324220000,0,1000
2018-10-01 00:18:00,1538324280000,868,3770
2018-10-01 00:19:00,1538324340000,5212,5212
2018-10-01 00:20:00,1538324400000,5651,5651
2018-10-01 00:21:00,1538324460000,2445,2445
2018-10-01 00:22:00,1538324520000,0,1000
2018-10-01 00:23:00,1538324580000,630,1000
2018-10-01 00:24:00,1538324640000,0,1000
2018-10-01 00:25:00,1538324700000,4141,4141
2018-10-01 00:26:00,1538324760000,3641,3641
2018-10-01 00:27:00,1538324820000,0,6259
2018-10-01 00:28:00,1538324880000,0,1000
2018-10-01 00:29:00,1538324940000,0,1000
2018-10-01 00:30:00,1538325000000,0,6188
2018-10-01 00:31:00,1538325060000,4742,4742
2018-10-01 00:32:00,1538325120000,2145,2145
2018-10-01 00:33:00,1538325180000,0,1000
2018-10-01 00:34:00,1538325240000,393,4907
2018-10-01 00:35:00,1538325300000,0,1000
2018-10-01 00:36:00,1538325360000,250,1000
2018-10-01 00:37:00,1538325420000,0,1000
2018-10-01 00:38:00,1538325480000,0,1000
2018-10-01 00:39:00,1538325540000,160,1000
2018-10-01 00:40:00,1538325600000,0,1000
2018-10-01 00:41:00,1538325660000,4901,4901
2018-10-01 00:42:00,1538325720000,2087,2087
2018-10-01 00:43:00,1538325780000,0,1000
2018-10-01 00:44:00,1538325840000,0,1000
2018-10-01 00:45:00,1538325900000,0,1000
2018-10-01 00:46:00,1538325960000,0,1000
2018-10-01 00:47:00,1538326020000,4454,4454
2018-10-01 00:48:00,1538326080000,2636,2636
2018-10-01 00:49:00,1538326140000,0,1000
2018-10-01 00:50:00,1538326200000,1275,1275
2018-10-01 00:51:00,1538326260000,0,1000
2018-10-01 00:52:00,1538326320000,0,1000
2018-10-01 00:54:00,1538326440000,0,6789
2018-10-01 00:55:00,1538326500000,0,1000
2018-10-01 00:56:00,1538326560000,0,1000
2018-10-01 00:57:00,1538326620000,0,1000
2018-10-01 00:58:00,1538326680000,395,1000
2018-10-01 00:59:00,1538326740000,0,1000
2018-10-01 01:00:00,1538326800000,0,1000
2018-10-01 01:01:00,1538326860000,3639,3639
2018-10-01 01:02:00,1538326920000,1545,1545
2018-10-01 01:03:00,1538326980000,0,1000
2018-10-01 01:04:00,1538327040000,0,1000
2018-10-01 01:05:00,1538327100000,0,1000
2018-10-01 01:06:00,1538327160000,0,1000
2018-10-01 01:07:00,1538327220000,1442,1442
2018-10-01 01:08:00,1538327280000,1424,1424
2018-10-01 01:09:00,1538327340000,0,1000
2018-10-01 01:10:00,1538327400000,5302,5302
2018-10-01 01:11:00,1538327460000,0,1000
2018-10-01 01:12:00,1538327520000,0,1000
2018-10-01 01:13:00,1538327580000,0,1000
2018-10-01 01:14:00,1538327640000,2443,2443
2018-10-01 01:15:00,1538327700000,1243,1243
2018-10-01 01:16:00,1538327760000,0,1000
2018-10-01 01:17:00,1538327820000,4398,4398
2018-10-01 01:18:00,1538327880000,0,6335
2018-10-01 01:19:00,1538327940000,0,1000
2018-10-01 01:20:00,1538328000000,0,1000
2018-10-01 01:21:00,1538328060000,0,6106
2018-10-01 01:22:00,1538328120000,0,1000
2018-10-01 01:23:00,1538328180000,5982,5982
2018-10-01 01:24:00,1538328240000,1760,1760
2018-10-01 01:25:00,1538328300000,1313,1313
2018-10-01 01:26:00,1538328360000,1432,1432
2018-10-01 01:27:00,1538328420000,0,1000
2018-10-01 01:28:00,1538328480000,3528,3528
2018-10-01 01:29:00,1538328540000,0,1000
2018-10-01 01:30:00,1538328600000,0,1000
2018-10-01 01:31:00,1538328660000,0,1000
2018-10-01 01:33:00,1538328780000,0,1000
2018-10-01 01:34:00,1538328840000,0,1000
2018-10-01 01:35:00,1538328900000,0,1000
2018-10-01 01:36:00,1538328960000,0,1000
2018-10-01 01:37:00,1538329020000,0,6536
2018-10-01 01:38:00,1538329080000,0,1000
2018-10-01 01:40:00,1538329200000,1922,1922
2018-10-01 01:41:00,1538329260000,0,1000
2018-10-01 01:43:00,1538329380000,0,1000
2018-10-01 01:44:00,1538329440000,0,1000
2018-10-01 01:45:00,1538329500000,5736,5736
2018-10-01 01:46:00,1538329560000,0,1000
2018-10-01 01:47:00,1538329620000,0,1000
2018-10-01 01:48:00,1538329680000,0,1000
2018-10-01 01:49:00,1538329740000,5184,5184
2018-10-01 01:50:00,1538329800000,0,1000
2018-10-01 01:51:00,1538329860000,0,1000
2018-10-01 01:52:00,1538329920000,0,1000
2018-10-01 01:53:00,1538329980000,0,1000
2018-10-01 01:56:00,1538330160000,4963,4963
2018-10-01 01:57:00,1538330220000,0,1000
2018-10-01 01:58:00,1538330280000,0,1000
2018-10-01 01:59:00,1538330340000,0,1000
2018-10-01 02:00:00,1538330400000,0,1000
2018-10-01 02:01:00,1538330460000,0,1000
2018-10-01 02:02:00,1538330520000,5791,5791
2018-10-01 02:03:00,1538330580000,0,1000
2018-10-01 02:04:00,1538330640000,0,1000
2018-10-01 02:06:00,1538330760000,4887,4887
2018-10-01 02:07:00,1538330820000,0,1000
2018-10-01 02:08:00,1538330880000,0,1000
2018-10-01 02:09:00,1538330940000,0,1000
2018-10-01 02:10:00,1538331000000,0,1000
2018-10-01 02:11:00,1538331060000,0,1000
2018-10-01 02:12:00,1538331120000,0,1000
2018-10-01 02:14:00,1538331240000,5335,5335
2018-10-01 02:15:00,1538331300000,0,1000
2018-10-01 02:16:00,1538331360000,0,1000
2018-10-01 02:17:00,1538331420000,0,1000
2018-10-01 02:18:00,1538331480000,0,1000
2018-10-01 02:19:00,1538331540000,0,1000
2018-10-01 02:20:00,1538331600000,0,6828
2018-10-01 02:21:00,1538331660000,0,1000
2018-10-01 02:22:00,1538331720000,0,1000
2018-10-01 02:23:00,1538331780000,0,1000
2018-10-01 02:24:00,1538331840000,0,1000
2018-10-01 02:25:00,1538331900000,0,1000
2018-10-01 02:26:00,1538331960000,0,1000
2018-10-01 02:27:00,1538332020000,749,2304
2018-10-01 02:28:00,1538332080000,0,1000
2018-10-01 02:29:00,1538332140000,0,1000
2018-10-01 02:31:00,1538332260000,0,1000
2018-10-01 02:33:00,1538332380000,0,1000
2018-10-01 02:34:00,1538332440000,3077,3077
2018-10-01 02:35:00,1538332500000,0,1000
2018-10-01 02:36:00,1538332560000,0,1000
2018-10-01 02:37:00,1538332620000,0,1000
2018-10-01 02:38:00,1538332680000,0,1000
2018-10-01 02:39:00,1538332740000,0,1000
2018-10-01 02:40:00,1538332800000,0,1000
2018-10-01 02:41:00,1538332860000,0,1000
2018-10-01 02:43:00,1538332980000,0,6897
2018-10-01 02:44:00,1538333040000,0,1000
2018-10-01 02:45:00,1538333100000,5593,5593
2018-10-01 02:46:00,1538333160000,3003,3003
2018-10-01 02:47:00,1538333220000,1056,1056
2018-10-01 02:48:00,1538333280000,0,1000
2018-10-01 02:50:00,1538333400000,0,1000
2018-10-01 02:52:00,1538333520000,5385,5385
2018-10-01 02:53:00,1538333580000,0,1000
2018-10-01 02:54:00,1538333640000,0,1000
2018-10-01 02:55:00,1538333700000,0,1000
2018-10-01 02:57:00,1538333820000,0,1000
2018-10-01 02:58:00,1538333880000,1896,1896
2018-10-01 02:59:00,1538333940000,0,1000
2018-10-01 03:00:00,1538334000000,0,1000
