,time,wait,com
2017-10-01 00:02:00,1506787320000,82000,120000.0
2017-10-01 00:03:00,1506787380000,67000,120000.0
2017-10-01 00:04:00,1506787440000,73000,120000.0
2017-10-01 00:05:00,1506787500000,120000,120000.0
2017-10-01 00:06:00,1506787560000,120000,120000.0
2017-10-01 00:08:00,1506787680000,120000,120000.0
2017-10-01 00:09:00,1506787740000,68000,120000.0
2017-10-01 00:10:00,1506787800000,94000,120000.0
2017-10-01 00:11:00,1506787860000,48000,120000.0
2017-10-01 00:12:00,1506787920000,101000,120000.0
2017-10-01 00:13:00,1506787980000,123000,120000.0
2017-10-01 00:14:00,1506788040000,63000,120000.0
2017-10-01 00:15:00,1506788100000,53000,120000.0
2017-10-01 00:16:00,1506788160000,72000,120000.0
2017-10-01 00:17:00,1506788220000,86000,120000.0
2017-10-01 00:18:00,1506788280000,51000,120000.0
2017-10-01 00:19:00,1506788340000,58000,120000.0
2017-10-01 00:20:00,1506788400000,91000,120000.0
2017-10-01 00:21:00,1506788460000,120000,120000.0
2017-10-01 00:22:00,1506788520000,80000,120000.0
2017-10-01 00:23:00,1506788580000,77000,120000.0
2017-10-01 00:24:00,1506788640000,120000,120000.0
2017-10-01 00:25:00,1506788700000,75000,120000.0
2017-10-01 00:26:00,1506788760000,120000,120000.0
2017-10-01 00:27:00,1506788820000,120000,120000.0
2017-10-01 00:29:00,1506788940000,50000,120000.0
2017-10-01 00:30:00,1506789000000,48000,120000.0
2017-10-01 00:31:00,1506789060000,91000,120000.0
2017-10-01 00:32:00,1506789120000,75000,120000.0
2017-10-01 00:33:00,1506789180000,120000,120000.0
2017-10-01 00:34:00,1506789240000,120000,120000.0
2017-10-01 00:36:00,1506789360000,97000,120000.0
2017-10-01 00:37:00,1506789420000,125000,120000.0
2017-10-01 00:38:00,1506789480000,65000,120000.0
2017-10-01 00:39:00,1506789540000,73000,120000.0
2017-10-01 00:40:00,1506789600000,106000,120000.0
2017-10-01 00:41:00,1506789660000,114000,120000.0
2017-10-01 00:42:00,1506789720000,54000,120000.0
2017-10-01 00:43:00,1506789780000,110000,120000.0
2017-10-01 00:45:00,1506789900000,82000,120000.0
